productId	name	description
104	Bluetooth Speaker	RGB mechanical keyboard with customizable keys.
105	Bluetooth Speaker	Ergonomic gaming chair with lumbar support.
106	Monitor Arm	High-speed portable solid-state drive with large capacity.
107	Portable SSD	Compact tablet with a high-resolution display.
108	Bluetooth Speaker	Ergonomic wireless mouse with adjustable DPI.
109	Router	Ergonomic gaming chair with lumbar support.
110	Webcam	Compact tablet with a high-resolution display.
111	Monitor Arm	High-speed wireless router with strong signal coverage.
112	Gaming Headset	1080p webcam with built-in microphone.
113	USB-C Charger	High-performance smartphone with 5G connectivity.
114	Wireless Earbuds	Comfortable gaming headset with surround sound.
115	Monitor Arm	High-speed wireless router with strong signal coverage.
116	Wireless Mouse	High-performance smartphone with 5G connectivity.
117	Webcam	1080p webcam with built-in microphone.
118	Smartwatch	High-speed wireless router with strong signal coverage.
119	Smartphone	1080p webcam with built-in microphone.
120	Webcam	Ergonomic wireless mouse with adjustable DPI.
121	Monitor Arm	Noise-cancelling wireless earbuds with long battery life.
122	Gaming Headset	RGB mechanical keyboard with customizable keys.
123	Smartphone	1080p webcam with built-in microphone.
124	Bluetooth Speaker	Ergonomic wireless mouse with adjustable DPI.
125	Webcam	Ergonomic gaming chair with lumbar support.
126	Portable SSD	Adjustable monitor arm for dual screens.
127	Monitor Arm	Fast charging USB-C adapter with multiple ports.
128	Smartphone	Noise-cancelling wireless earbuds with long battery life.
129	Smartphone	Fast charging USB-C adapter with multiple ports.
130	Tablet	High-speed wireless router with strong signal coverage.
131	Tablet	Wearable smartwatch with health tracking features.
132	Mechanical Keyboard	Comfortable gaming headset with surround sound.
133	Portable SSD	Adjustable monitor arm for dual screens.
134	Router	Fast charging USB-C adapter with multiple ports.
135	Laptop	Wearable smartwatch with health tracking features.
136	Laptop Stand	High-performance smartphone with 5G connectivity.
137	Webcam	Adjustable monitor arm for dual screens.
138	Laptop Stand	RGB mechanical keyboard with customizable keys.
139	Wireless Earbuds	Compact tablet with a high-resolution display.
140	Tablet	Fast charging USB-C adapter with multiple ports.
141	Laptop	High-speed portable solid-state drive with large capacity.
142	Tablet	Adjustable aluminum laptop stand for better ergonomics.
143	Webcam	High-performance smartphone with 5G connectivity.
144	Wireless Mouse	Adjustable monitor arm for dual screens.
145	Webcam	High-speed wireless router with strong signal coverage.
146	Bluetooth Speaker	Noise-cancelling wireless earbuds with long battery life.
147	USB-C Charger	1080p webcam with built-in microphone.
148	Portable SSD	Fast charging USB-C adapter with multiple ports.
149	USB-C Charger	Fast charging USB-C adapter with multiple ports.
150	Monitor Arm	Compact tablet with a high-resolution display.
151	Smartwatch	Ergonomic gaming chair with lumbar support.
152	Portable SSD	Comfortable gaming headset with surround sound.
153	Mechanical Keyboard	Fast charging USB-C adapter with multiple ports.
154	Webcam	High-speed portable solid-state drive with large capacity.
155	Portable SSD	Portable Bluetooth speaker with deep bass.
156	Portable SSD	Wearable smartwatch with health tracking features.
157	Smartphone	Noise-cancelling wireless earbuds with long battery life.
158	Gaming Chair	Compact tablet with a high-resolution display.
159	Smartphone	Portable Bluetooth speaker with deep bass.
160	Gaming Chair	Ergonomic gaming chair with lumbar support.
161	USB-C Charger	Lightweight laptop with powerful specifications.
